id,sn,sn_2,date,title,link
167,足纪字[2018]025号,,,关于对广州恒大淘宝足球俱乐部队球员司徒华龙、王军辉违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180412/22924.html
168,足纪字[2018]024号,,,关于对长春亚泰足球俱乐部队官员刘建勋违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180412/22923.html
169,足纪字[2018]023号,,,关于对上海绿地申花足球俱乐部队违规违纪的处罚决定 ,http://www.thecfa.cn/cftz/20180412/22922.html
170,足纪字[2018]022号,,,关于对内蒙古中优足球俱乐部呼和浩特足球队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180410/22921.html
171,足纪字[2018]021号,,,关于对延边富德足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180410/22920.html
172,足纪字[2018]020号,,,关于对贵州恒丰足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180410/22919.html
173,足纪字[2018]019号,,,关于对河南建业足球俱乐部队球员靳琪违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180410/22918.html
174,足纪字[2018]018号,,,关于对广州恒大淘宝足球俱乐部队球员阿兰违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180410/22917.html
175,足纪字[2018]017号,,,关于对湖南益阳赛区违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180402/22834.html
176,足纪字[2018]016号,,,关于对淄博星期天足球俱乐部队官员钱鼎违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180402/22833.html
177,足纪字[2018]015号,,,关于对青岛辰希足球俱乐部队球员李琨违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180326/22832.html
178,足纪字[2018]014号,,,关于对深圳南岭铁狼足球俱乐部队官员乔尼弗违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180326/22831.html
179,足纪字[2018]013号,,,关于对大连统顺足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180326/22830.html
180,足纪字[2018]012号,,,关于对大连统顺足球俱乐部队球员刘鑫违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180326/22829.html
181,足纪字[2018]011号,,,关于对大连统顺足球俱乐部队球员刘兴勇违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180326/22828.html
182,足纪字[2018]010号,,,关于对大连统顺足球俱乐部队官员王魁违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180326/22827.html
183,足纪字[2018]009号,,,关于对辽宁足球俱乐部沈阳宏运队球员王皓违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180326/22826.html
